species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Actiniopteris_australis,NA,NA,NA,JX144887,NA,NA,NA,NA,unjoined,hennequinr222,Towards a natural classification of Pteridaceae: inferring the,FALSE
Actiniopteris_dimorpha,EF452066,EF452009,NA,EF452130,KJ416352,KJ416352,KM008014,NA,voucher,schneidersn,NA,FALSE
Actiniopteris_radiata,NA,NA,NA,AF336100,NA,NA,NA,NA,unjoined,NA,Phylogenetic placements of Loxoscaphe thecifera (Aspleniaceae) and,FALSE
Actiniopteris_semiflabellata,KM007557,KM007674,NA,KJ416326,KJ416353,KJ416353,KM008015,NA,voucher,smithsn,NA,FALSE
Actinostachys_confusa,NA,NA,NA,AJ303403,NA,NA,NA,NA,unjoined,rbollisn,Schizaeaceae: a phylogenetic approach,FALSE
Actinostachys_digitata,NA,NA,NA,AJ303405,NA,NA,NA,NA,unjoined,klackenberglundin590,Schizaeaceae: a phylogenetic approach,FALSE
Actinostachys_laevigata,NA,NA,NA,AJ303404,NA,NA,NA,NA,unjoined,hsmckee2490,Schizaeaceae: a phylogenetic approach,FALSE
Actinostachys_pennula,NA,NA,NA,NA,NA,NA,NA,KU764518,NA,NA,NA,FALSE
Actinostachys_subtrijuga,NA,NA,NA,AJ303400,NA,NA,NA,NA,unjoined,cdadams14751,Schizaeaceae: a phylogenetic approach,FALSE
Acystopteris_japonica,NA,NA,NA,NA,NA,NA,NA,MT130696,NA,NA,NA,FALSE
Acystopteris_taiwaniana,NA,NA,JX873972,JF832052,NA,NA,NA,NA,voucher,schuettpelz1127a,NA,FALSE
Acystopteris_tenuisecta,NA,NA,NA,NA,NA,NA,NA,MT130692,NA,NA,NA,FALSE
Adenophorus_abietinus,NA,AF469778,NA,AF468202,NA,NA,AF469791,NA,voucher,ranker1100colo,NA,FALSE
Adenophorus_epigaeus,NA,AF469779,NA,AF468203,NA,NA,AF469792,NA,voucher,ranker1103colo,NA,FALSE
Adenophorus_haaliloanus,NA,AF469775,NA,AF468200,NA,NA,AF469788,NA,voucher,ranker1561colo,NA,FALSE
Adenophorus_hymenophylloides,NA,AF469780,NA,AF468204,NA,NA,AF469793,NA,monophy,NA,NA,FALSE
Adenophorus_oahuensis,NA,AF469776,NA,AY057382,NA,NA,AF469789,NA,publication,NA,molecular phylogenetics and evolution of the endemic hawaiian genus,FALSE
Adenophorus_periens,NA,AF469774,NA,AF468199,NA,NA,AF469787,NA,voucher,ranker1114colo,NA,FALSE
Adenophorus_sarmentosus,NA,AF469777,NA,AF468201,NA,NA,AF469790,NA,voucher,ranker1559colo,NA,FALSE
Adenophorus_tamariscinus,NA,AF469781,NA,AF468205,NA,NA,AF469794,NA,voucher,ranker1351colo,NA,FALSE
Adenophorus_tenellus,EF463820,AF469773,NA,AF468198,NA,NA,AF469786,NA,monophy,NA,NA,FALSE
Adenophorus_tripinnatifidus,NA,AF469783,NA,AF468207,NA,NA,AF469796,NA,monophy,NA,NA,FALSE
Adetogramma_chrysolepis,NA,NA,NA,NA,NA,NA,NA,MW876307,NA,NA,NA,FALSE
Adiantopsis_alata,KY020082,NA,NA,KY020078,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_aurea,KY020083,NA,NA,KY020080,NA,NA,NA,NA,voucher,oscboudrieal4320,NA,FALSE
Adiantopsis_australopedata,JN709792,NA,NA,JN709746,NA,NA,NA,NA,voucher,muzuloagaal8873,NA,FALSE
Adiantopsis_chlorophylla,JN709783,NA,NA,JN709737,NA,NA,NA,NA,voucher,mulinkperezal193,NA,FALSE
Adiantopsis_dactylifera,JN709805,NA,NA,JN709759,NA,NA,NA,NA,voucher,movanderwerffgray16380,NA,FALSE
Adiantopsis_dichotoma,JN709774,NA,NA,JN709728,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_flexuosa,JN709770,NA,NA,JN709723,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_lindigii,JN709800,NA,NA,JN709754,NA,NA,NA,NA,voucher,uclangenheim3568,NA,FALSE
Adiantopsis_monticola,JN709775,NA,NA,JN709729,NA,NA,NA,NA,voucher,uccordeiroal2665,NA,FALSE
Adiantopsis_orbignyana,NA,NA,NA,MG593080,NA,NA,NA,NA,unjoined,asagstegui11235,Further progress towards the delimitation of Cheilanthes,FALSE
Adiantopsis_parvisegmenta,JN709796,NA,NA,JN709750,NA,NA,NA,NA,voucher,nyjack6877,NA,FALSE
Adiantopsis_paupercula,JN709811,NA,NA,JN709765,NA,NA,NA,NA,voucher,ushespenheide1191,NA,FALSE
Adiantopsis_pedata,JN709794,NA,NA,JN709748,NA,NA,NA,NA,voucher,nyharris10878,NA,FALSE
Adiantopsis_pentagona,JN709795,NA,NA,JN709749,NA,NA,NA,NA,voucher,nyproctor3229,NA,FALSE
Adiantopsis_perfasciculata,JN709793,NA,NA,JN709747,NA,NA,NA,NA,voucher,nyirwinal19130,NA,FALSE
Adiantopsis_propinqua,JN709815,NA,NA,NA,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Adiantopsis_radiata,EU268718,EF452010,NA,EF452131,NA,NA,NA,NA,voucher,christenhusz4033,NA,FALSE
Adiantopsis_reesii,JN709801,NA,NA,JN709755,NA,NA,NA,NA,voucher,nyekman7965,NA,FALSE
Adiantopsis_regularis,JN709772,NA,NA,JN709726,NA,NA,NA,NA,voucher,ucsilvabarbosa3001,NA,FALSE
Adiantopsis_rupicola,JN709799,NA,NA,JN709753,NA,NA,NA,NA,voucher,nybrittonal7497,NA,FALSE
Adiantopsis_seemannii,MK632492,NA,NA,JN709731,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_senae,KF800705,NA,NA,KF800703,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_ternata,JN709802,NA,NA,JN709756,NA,NA,NA,NA,voucher,ushaught2402,NA,FALSE
Adiantopsis_timida,JN709803,NA,NA,JN709757,NA,NA,NA,NA,voucher,nywurdackadderley43734,NA,FALSE
Adiantopsis_trifurcata,JN709813,NA,NA,JN709768,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_tweediana,JN709771,NA,NA,JN709725,MW245820,MW245820,NA,NA,monophy,NA,NA,FALSE
Adiantopsis_vincentii,JN709797,NA,NA,JN709751,NA,NA,NA,NA,voucher,usmorton10544,NA,FALSE
Adiantum_abscissum,MH019315,NA,NA,MH019532,NA,NA,NA,NA,voucher,sphirai718,NA,FALSE
Adiantum_adiantoides,MH019316,NA,NA,MH019533,NA,NA,NA,NA,voucher,ucboudrie3927,NA,FALSE
Adiantum_aethiopicum,JF937305,JF935432,NA,JF935350,JF980616,JF980616,JF980695,NA,voucher,jwen10780,NA,FALSE
Adiantum_alan-smithii,KX524416,NA,NA,KX524212,NA,NA,NA,NA,voucher,lopes941,NA,FALSE
Adiantum_alarconianum,MH019317,NA,NA,MH019534,NA,NA,NA,NA,voucher,morubio1819,NA,FALSE
Adiantum_aleuticum,NA,NA,NA,NA,NA,NA,NA,MH173079,NA,NA,NA,FALSE
Adiantum_alomae,NA,NA,NA,NA,NA,NA,KY934375,NA,unjoined,NA,NA,FALSE
Adiantum_amplum,JF937311,JF935438,NA,JF935356,JF980622,JF980622,JF980701,NA,voucher,jwen10777,NA,FALSE
Adiantum_anceps,MH019320,NA,NA,MH019537,NA,NA,NA,NA,voucher,ucsmith2894,NA,FALSE
Adiantum_andicola,KU147243,NA,NA,KU147272,NA,NA,NA,NA,voucher,dukecjrothfels2641,NA,FALSE
Adiantum_aneitense,MH019321,NA,NA,MH019538,NA,NA,NA,NA,voucher,kjohns10039,NA,FALSE
Adiantum_argutum,MH019322,KJ716378,NA,MH019539,MN781356,MN781356,NA,NA,monophy,NA,NA,FALSE
Adiantum_atroviride,MH019324,NA,NA,MH019541,NA,NA,NA,NA,voucher,zkessler14196,NA,FALSE
Adiantum_braunii,MH019326,NA,NA,MH019543,NA,NA,NA,NA,voucher,ucprothfels2,NA,FALSE
Adiantum_cajennense,MH019327,NA,NA,MH019544,NA,NA,NA,NA,voucher,ucboudrie3931,NA,FALSE
Adiantum_calcareum,MH019328,NA,NA,MH019545,NA,NA,NA,NA,voucher,sphirai717,NA,FALSE
Adiantum_camptorachis,KX524384,NA,NA,KX524180,NA,NA,NA,NA,voucher,morero335,NA,FALSE
Adiantum_capillatum,NA,NA,NA,MH019546,NA,NA,NA,NA,unjoined,mocroat95353,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_capillus-junonis,JF937269,JF935395,NA,JF935314,JF980578,JF980578,JF980662,NA,voucher,jmlu111,NA,FALSE
Adiantum_capillus-veneris,NA,NA,NA,NA,NA,NA,NA,AY178864,NA,NA,NA,FALSE
Adiantum_caudatum,JF937250,JF935374,NA,JF935297,JF980559,JF980559,JF980642,NA,voucher,jmlu050,NA,FALSE
Adiantum_chienii,JF937256,JF935381,NA,JF935303,JF980565,JF980565,JF980649,NA,voucher,jmlu568,NA,FALSE
Adiantum_chilense,JF937291,JF935418,NA,JF935336,JF980602,JF980602,JF980681,NA,voucher,jwen7313,NA,FALSE
Adiantum_ciliatum,KP637179,KP637194,NA,KP637230,KP637245,KP637245,KP637260,NA,voucher,yan12404,NA,FALSE
Adiantum_cinnamomeum,MH019332,NA,NA,MH019550,NA,NA,NA,NA,voucher,spprado1831,NA,FALSE
Adiantum_comorense,MH019334,NA,NA,MH019551,NA,NA,NA,NA,voucher,momwangoka5695,NA,FALSE
Adiantum_concinnum,KX524413,NA,NA,KX524209,NA,NA,NA,NA,voucher,grantham011290,NA,FALSE
Adiantum_cunninghamii,JF937306,JF935433,NA,JF935351,JF980617,JF980617,JF980696,NA,voucher,jwen10782,NA,FALSE
Adiantum_curvatum,MH019336,NA,NA,MH019553,NA,NA,NA,NA,voucher,ucbarbosa1227,NA,FALSE
Adiantum_davidii,JF937245,JF935369,NA,JF935292,JF980554,JF980554,JF980638,NA,voucher,jmlu247,NA,FALSE
Adiantum_dawsonii,MH019338,NA,NA,MH019555,NA,NA,NA,NA,voucher,ucprance19082,NA,FALSE
Adiantum_decoratum,MH019339,MN781242,NA,MH019556,MN781366,MN781366,NA,NA,monophy,NA,NA,FALSE
Adiantum_deflectens,MH019340,NA,NA,MH019557,NA,NA,NA,NA,voucher,dukeschuettpelz1390,NA,FALSE
Adiantum_delicatulum,MH019341,NA,NA,MH019558,NA,NA,NA,NA,voucher,sphirai704,NA,FALSE
Adiantum_deltoideum,MH019342,NA,NA,MH019559,NA,NA,KY934392,NA,monophy,NA,NA,FALSE
Adiantum_dentatum,KY382668,KY429049,KY461657,KY450801,KY450956,KY450955,KY450879,NA,voucher,wah013,NA,FALSE
Adiantum_diaphanum,JF937254,JF935379,NA,JF935301,JF980563,JF980563,JF980647,NA,voucher,jmlu208,NA,FALSE
Adiantum_digitatum,MH019343,NA,NA,MH019561,KU147307,KU147307,NA,NA,monophy,NA,NA,FALSE
Adiantum_diogoanum,NA,NA,NA,KJ628557,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Adiantum_discolor,MH019344,NA,NA,MH019562,NA,NA,NA,NA,voucher,splabiak3702,NA,FALSE
Adiantum_dolosum,MH019345,NA,NA,MH019563,NA,NA,NA,NA,voucher,ucjimenez2023,NA,FALSE
Adiantum_edgeworthii,KP637178,KP637193,NA,KP637229,KP637244,KP637244,KP637259,NA,voucher,yan12412,NA,FALSE
Adiantum_erythrochlamys,NA,NA,NA,MH019566,NA,NA,NA,NA,unjoined,ucsinoamerexped1712,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_excisum,JF937292,JF935419,NA,JF935337,JF980603,JF980603,JF980682,NA,voucher,jwen7326,NA,FALSE
Adiantum_feei,NA,NA,NA,MH019567,NA,NA,NA,NA,unjoined,ucsoto95,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_fengianum,JF937262,JF935388,NA,JF935308,JF980571,JF980571,JF980656,NA,voucher,jmlu228,NA,FALSE
Adiantum_flabellulatum,JF937270,JF935396,NA,JF935315,JF980579,JF980579,JF980663,NA,voucher,jmlu192,NA,FALSE
Adiantum_formosanum,MH019350,NA,NA,MH019571,NA,NA,NA,NA,voucher,dukeli1402,NA,FALSE
Adiantum_formosum,JF937307,JF935434,NA,JF935352,JF980618,JF980618,JF980697,NA,voucher,jwen10779,NA,FALSE
Adiantum_fournieri,KX524374,NA,NA,MH019572,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_fragile,MH019352,NA,NA,MH019573,NA,NA,NA,NA,voucher,ucaxelrod12881,NA,FALSE
Adiantum_fuliginosum,MH019353,NA,NA,MH019574,NA,NA,NA,NA,voucher,ucboudrie3925,NA,FALSE
Adiantum_fulvum,JF937308,JF935435,NA,JF935353,JF980619,JF980619,JF980698,NA,voucher,jwen10781,NA,FALSE
Adiantum_galeottianum,KX524401,NA,NA,KX524197,NA,NA,NA,NA,voucher,mickel7004,NA,FALSE
Adiantum_gertrudis,NA,NA,NA,MH019575,NA,NA,NA,NA,unjoined,uceyerdam10038,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_glabrum,NA,NA,NA,MH019576,NA,NA,NA,NA,unjoined,ucstjohn15495,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_glaucescens,MH019354,NA,NA,MH019577,NA,NA,NA,NA,voucher,ucboudrie3930,NA,FALSE
Adiantum_gracile,MH019355,NA,NA,MH019578,NA,NA,NA,NA,voucher,spprado2242,NA,FALSE
Adiantum_gravesii,KY382729,KY429095,KY461708,KY450871,KY451001,KY451001,KY450945,NA,voucher,wah048,NA,FALSE
Adiantum_henslovianum,KX524418,NA,NA,KX524214,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_hirsutum,NA,NA,NA,KF992410,NA,NA,NA,NA,unjoined,shennequinr223,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Adiantum_hispidulum,JF937296,JF935423,NA,JF935341,JF980607,JF980607,JF980686,NA,voucher,jwen10243,NA,FALSE
Adiantum_hornei,NA,NA,NA,MH019581,NA,NA,NA,NA,unjoined,ucgame9510,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_hosei,MH019358,NA,NA,MH019582,NA,NA,NA,NA,voucher,ucbeaman10302,NA,FALSE
Adiantum_humile,MH019359,NA,NA,MH019583,NA,NA,NA,NA,voucher,ucboudrie3934,NA,FALSE
Adiantum_incisum,NA,NA,NA,NA,NA,NA,NA,MT130585,NA,NA,NA,FALSE
Adiantum_induratum,JF937263,JF935389,NA,JF935309,JF980572,JF980572,JF980657,NA,voucher,jmlu210,NA,FALSE
Adiantum_intermedium,MH019362,NA,NA,MH019586,NA,NA,NA,NA,voucher,sjrpprado1769,NA,FALSE
Adiantum_isthmicum,NA,NA,NA,KJ628539,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Adiantum_jordanii,JF937303,JF935430,NA,JF935348,JF980614,JF980614,JF980693,NA,voucher,jwen10778,NA,FALSE
Adiantum_juxtapositum,KY382673,KY429042,KY461648,KY450802,KY450974,KY450974,KY450887,NA,voucher,wah030,NA,FALSE
Adiantum_krameri,MH019364,NA,NA,MH019588,NA,NA,NA,NA,voucher,ucvanderwerff12986,NA,FALSE
Adiantum_latifolium,MH019365,NA,NA,MH019589,NA,NA,NA,NA,voucher,dukerothfels08170,NA,FALSE
Adiantum_leprieurii,MH019366,NA,NA,MH019590,NA,NA,NA,NA,voucher,ucboudrie3926,NA,FALSE
Adiantum_lianxianense,JF937255,JF935380,NA,JF935302,JF980564,JF980564,JF980648,NA,voucher,jmlu120,NA,FALSE
Adiantum_longzhouensis,KY382661,KY429035,KY461650,KY450806,KY451006,KY451006,KY450906,NA,voucher,wah019,NA,FALSE
Adiantum_lorentzii,KX524391,NA,NA,KX524187,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_lucidum,MH019367,NA,NA,MH019591,NA,NA,NA,NA,voucher,ucboudrie3929,NA,FALSE
Adiantum_macrocladum,MH019368,MN781266,NA,KJ628577,MN781357,MN781357,NA,NA,monophy,NA,NA,FALSE
Adiantum_macrophyllum,MH019369,NA,NA,MH019593,NA,NA,NA,NA,voucher,dukerothfels08094,NA,FALSE
Adiantum_madagascariense,MH019371,NA,NA,MH019595,NA,NA,NA,NA,voucher,monusbaumer2749,NA,FALSE
Adiantum_mariesii,KY382692,KY429059,KY461671,KY450815,KY451018,KY451018,KY450905,NA,voucher,wah038,NA,FALSE
Adiantum_mathewsianum,NA,NA,NA,MH019598,NA,NA,NA,NA,unjoined,uchatschbach74482,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_mcvaughii,NA,NA,NA,MH019599,NA,NA,NA,NA,unjoined,ucalava1603,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_meishanianum,KP637181,KP637196,NA,KP637232,KP637247,KP637247,KP637262,NA,voucher,yan12411,NA,FALSE
Adiantum_melanoleucum,MH019373,NA,NA,MH019600,NA,NA,NA,NA,voucher,ucaxelrod12765,NA,FALSE
Adiantum_mendoncae,MH019374,NA,NA,MH019601,NA,NA,NA,NA,voucher,bmpope266,NA,FALSE
Adiantum_menglianense,KP637182,KP637197,KU561681,KP637233,KP637248,KP637248,KP637263,NA,voucher,yan12409,NA,FALSE
Adiantum_monochlamys,MH019376,NA,NA,MH019603,KT427316,KT427316,KT427073,NA,monophy,NA,NA,FALSE
Adiantum_mynsseniae,MH019377,NA,NA,MH019604,NA,NA,NA,NA,voucher,ucmynssen356,NA,FALSE
Adiantum_myriosorum,JN052847,JN052869,NA,JN052786,JN052815,JN052815,JN052900,NA,voucher,jmlu313,NA,FALSE
Adiantum_nelumboides,NA,NA,NA,NA,NA,NA,NA,MT733232,NA,NA,NA,FALSE
Adiantum_novae-caledoniae,NA,NA,NA,KX524167,NA,NA,NA,NA,unjoined,werff16105,Phylogeny and relationships of the neotropical Adiantum raddianum,FALSE
Adiantum_oaxacanum,NA,NA,NA,MH019606,NA,NA,NA,NA,unjoined,ucmickel5132a,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_obliquum,MH019380,NA,NA,MH019607,NA,NA,NA,NA,voucher,dukerothfels2661,NA,FALSE
Adiantum_obovatum,KY382686,KY429053,KY461643,KY450828,KY450976,KY450976,KY450902,NA,voucher,wah016,NA,FALSE
Adiantum_ogasawarense,NA,NA,NA,AB574801,NA,NA,NA,NA,unjoined,tns774843,Molecular species identification with rich floristic sampling: DNA,FALSE
Adiantum_orbignyanum,KX524412,NA,NA,KX524208,NA,NA,NA,NA,voucher,hernandez1953,NA,FALSE
Adiantum_ornithopodum,MH019382,NA,NA,MH019609,NA,NA,NA,NA,voucher,dukeschuettpelz1429,NA,FALSE
Adiantum_oyapokense,MH019416,NA,NA,MH019644,NA,NA,NA,NA,voucher,dukegrusz128,NA,FALSE
Adiantum_paraense,MH019383,NA,NA,MH019610,NA,NA,NA,NA,voucher,ucboudrie3932,NA,FALSE
Adiantum_patens,KX524404,NA,NA,KX524200,NA,NA,NA,NA,voucher,rothfels2697,NA,FALSE
Adiantum_pectinatum,MH019384,NA,NA,MH019611,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_pedatum,JN052857,JN052876,NA,JN052808,JN052834,JN052834,JN052904,NA,voucher,jmlu377,NA,FALSE
Adiantum_peruvianum,JF937241,JF935365,NA,JF935288,JF980550,JF980550,JF980634,NA,voucher,jmlu338,NA,FALSE
Adiantum_petiolatum,MH019387,NA,NA,MH019614,NA,NA,NA,NA,voucher,dukerothfels08178,NA,FALSE
Adiantum_phanerophlebium,MH019388,NA,NA,MH019615,NA,NA,NA,NA,voucher,zjkluge8039,NA,FALSE
Adiantum_philippense,JF937295,JF935422,NA,JF935340,JF980606,JF980606,JF980685,NA,voucher,jwen10206,NA,FALSE
Adiantum_phyllitidis,MH019390,NA,NA,MH019617,NA,NA,NA,NA,voucher,ucbordenave8258,NA,FALSE
Adiantum_platyphyllum,MH019391,MN781261,NA,MH019618,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_poeppigianum,NA,MN781285,NA,MN781347,MN781367,MN781367,NA,NA,voucher,turtuomisto16722,NA,FALSE
Adiantum_poiretii,KX524377,NA,NA,KX524172,NA,NA,NA,NA,voucher,beck1153,NA,FALSE
Adiantum_polyphyllum,MH019394,NA,NA,MH019621,NA,NA,NA,NA,voucher,ucsmithsn,NA,FALSE
Adiantum_pseudotinctum,KX524419,NA,NA,NA,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Adiantum_pulverulentum,MH019396,NA,NA,MH019622,NA,NA,NA,NA,voucher,ucsmith2889,NA,FALSE
Adiantum_pyramidale,MH019397,NA,NA,MH019623,NA,NA,NA,NA,voucher,ucchristenhusz3524,NA,FALSE
Adiantum_raddianum,JF937294,JF935421,NA,JF935339,JF980605,JF980605,JF980684,NA,voucher,jwen10119,NA,FALSE
Adiantum_reniforme,KJ742781,KJ742740,NA,KJ742772,KJ780005,KJ780005,KJ779977,NA,voucher,wah011,NA,FALSE
Adiantum_rhizophorum,NA,NA,NA,KF992413,NA,NA,NA,NA,unjoined,shennequinr221,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Adiantum_rhizophytum,MH019400,NA,NA,MH019626,NA,NA,NA,NA,voucher,spffiaschi3568,NA,FALSE
Adiantum_roborowskii,JF937251,JF935375,NA,JF935298,JF980560,JF980560,JF980643,NA,voucher,jmlu280,NA,FALSE
Adiantum_ruizianum,KX524400,NA,NA,KX524196,NA,NA,NA,NA,voucher,werff16812,NA,FALSE
Adiantum_scalare,MH019402,MN781259,NA,MH019629,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_schweinfurthii,MH019403,NA,NA,MH019630,NA,NA,NA,NA,voucher,mogereau5966,NA,FALSE
Adiantum_seemannii,MH019404,NA,NA,MH019631,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_sericeum,NA,NA,NA,MH019632,NA,NA,NA,NA,unjoined,uclbsmith3254,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable,FALSE
Adiantum_serratodentatum,MH019405,NA,NA,MH019633,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_shastense,NA,NA,NA,NA,NA,NA,NA,MG432483,NA,NA,NA,FALSE
Adiantum_shepherdii,KX524402,NA,NA,KX524198,NA,NA,NA,NA,voucher,matuda31053,NA,FALSE
Adiantum_silvaticum,NA,NA,NA,NA,NA,NA,LC004396,NA,unjoined,NA,NA,FALSE
Adiantum_soboliferum,MH019407,NA,KJ605552,MH019602,KT427353,KT427353,KT427096,NA,monophy,NA,NA,FALSE
Adiantum_stenochlamys,MH019408,NA,NA,MH019636,NA,NA,NA,NA,voucher,dukeschuettpelz900a,NA,FALSE
Adiantum_subcordatum,KU147248,NA,NA,KU147277,NA,NA,NA,NA,monophy,NA,NA,FALSE
Adiantum_taiwanianum,MH019409,NA,NA,MH019637,NA,NA,NA,NA,voucher,dukeschuettpelz1131a,NA,FALSE
Adiantum_tenerum,JF937310,JF935437,NA,JF935355,JF980621,JF980621,JF980700,NA,voucher,jwen10775,NA,FALSE
Adiantum_terminatum,MH019410,NA,NA,MH019638,NA,NA,NA,NA,voucher,ucboudrie3933,NA,FALSE
Adiantum_tetraphyllum,EF452073,EF452015,NA,EF452135,NA,NA,NA,NA,voucher,huiet105,NA,FALSE
Adiantum_thalictroides,KX524421,NA,NA,KX524216,NA,NA,NA,NA,voucher,hartwig54059si,NA,FALSE
Adiantum_thongthamii,MH019411,NA,NA,MH019639,NA,NA,NA,NA,voucher,qbgsuksathan3303,NA,FALSE
Adiantum_tomentosum,MH019412,NA,NA,MH019640,NA,NA,NA,NA,voucher,ucjimenez2033,NA,FALSE
Adiantum_tracyi,MH019413,NA,NA,MH019641,NA,NA,NA,NA,voucher,ucsmithsn,NA,FALSE
