species,seq_len_atpA,accession_atpA,seq_len_atpB,accession_atpB,seq_len_matK,accession_matK,seq_len_rbcL,accession_rbcL,seq_len_rps4,accession_rps4,seq_len_rps4-trnS,accession_rps4-trnS,seq_len_trnL-trnF,accession_trnL-trnF,total_seq_len,join_by,specimen_voucher,publication
Actinostachys_pennula,NA,NA,NA,NA,NA,NA,1267,AJ303401,NA,NA,NA,NA,NA,NA,1267,unjoined,mrimachi11069,Schizaeaceae: a phylogenetic approach
Actinostachys_subtrijuga,NA,NA,NA,NA,NA,NA,1296,AJ303400,NA,NA,NA,NA,NA,NA,1296,unjoined,cdadams14751,Schizaeaceae: a phylogenetic approach
Acystopteris_japonica,884,JN168051,1043,JN168031,0,NA,1101,JN168005,584,JN168074,628,JN168074,0,NA,4240,voucher,sglux7,NA
Acystopteris_taiwaniana,0,NA,0,NA,1211,JX873972,1309,JF832052,0,NA,0,NA,0,NA,2520,voucher,schuettpelz1127a,NA
Acystopteris_tenuisecta,885,JN168052,1037,JN168032,0,NA,1248,JN168006,584,JN168075,615,JN168075,0,NA,4369,voucher,sgludl2,NA
Adenophorus_abietinus,0,NA,1266,AF469778,0,NA,1311,AF468202,0,NA,0,NA,282,AF469791,2859,voucher,ranker1100colo,NA
Adenophorus_epigaeus,0,NA,1266,AF469779,0,NA,1311,AF468203,0,NA,0,NA,283,AF469792,2860,voucher,ranker1103colo,NA
Adenophorus_haaliloanus,0,NA,1266,AF469775,0,NA,1311,AF468200,0,NA,0,NA,281,AF469788,2858,voucher,ranker1561colo,NA
Adenophorus_hymenophylloides,0,NA,1266,AF469780,0,NA,1311,AF468204,0,NA,0,NA,279,AF469793,2856,monophy,NA,NA
Adenophorus_oahuensis,0,NA,1266,AF469776,0,NA,1311,AY057382,0,NA,0,NA,281,AF469789,2858,publication,NA,molecular phylogenetics and evolution of the endemic hawaiian genus
Adenophorus_periens,0,NA,1266,AF469774,0,NA,1311,AF468199,0,NA,0,NA,277,AF469787,2854,voucher,ranker1114colo,NA
Adenophorus_sarmentosus,0,NA,1266,AF469777,0,NA,1311,AF468201,0,NA,0,NA,283,AF469790,2860,voucher,ranker1559colo,NA
Adenophorus_tamariscinus,0,NA,1266,AF469781,0,NA,1311,AF468205,0,NA,0,NA,283,AF469794,2860,voucher,ranker1351colo,NA
Adenophorus_tenellus,1506,EF463820,1266,AF469773,0,NA,1311,AF468198,0,NA,0,NA,280,AF469786,4363,monophy,NA,NA
Adenophorus_tripinnatifidus,0,NA,1266,AF469783,0,NA,1311,AF468207,0,NA,0,NA,283,AF469796,2860,monophy,NA,NA
Adetogramma_chrysolepis,0,NA,0,NA,0,NA,1262,KY847858,553,KY847865,659,KY847865,0,NA,2474,voucher,tealmeida3083,NA
Adiantopsis_alata,1752,KY020082,0,NA,0,NA,1325,KY020078,0,NA,0,NA,0,NA,3077,monophy,NA,NA
Adiantopsis_aurea,1752,KY020083,0,NA,0,NA,885,KY020080,0,NA,0,NA,0,NA,2637,voucher,oscboudrieal4320,NA
Adiantopsis_australopedata,1747,JN709792,0,NA,0,NA,1325,JN709746,0,NA,0,NA,0,NA,3072,voucher,muzuloagaal8873,NA
Adiantopsis_chlorophylla,1747,JN709783,0,NA,0,NA,1325,JN709737,0,NA,0,NA,0,NA,3072,voucher,mulinkperezal193,NA
Adiantopsis_dactylifera,1752,JN709805,0,NA,0,NA,1325,JN709759,0,NA,0,NA,0,NA,3077,voucher,movanderwerffgray16380,NA
Adiantopsis_dichotoma,1745,JN709774,0,NA,0,NA,1325,JN709728,0,NA,0,NA,0,NA,3070,monophy,NA,NA
Adiantopsis_flexuosa,1754,JN709770,0,NA,0,NA,1325,JN709723,0,NA,0,NA,0,NA,3079,monophy,NA,NA
Adiantopsis_lindigii,1747,JN709800,0,NA,0,NA,507,JN709754,0,NA,0,NA,0,NA,2254,voucher,uclangenheim3568,NA
Adiantopsis_monticola,1752,JN709775,0,NA,0,NA,1325,JN709729,0,NA,0,NA,0,NA,3077,voucher,uccordeiroal2665,NA
Adiantopsis_orbignyana,NA,NA,NA,NA,NA,NA,537,MG593080,NA,NA,NA,NA,NA,NA,537,unjoined,asagstegui11235,Further progress towards the delimitation of Cheilanthes
Adiantopsis_parvisegmenta,1421,JN709796,0,NA,0,NA,1325,JN709750,0,NA,0,NA,0,NA,2746,voucher,nyjack6877,NA
Adiantopsis_paupercula,1752,JN709811,0,NA,0,NA,1325,JN709765,0,NA,0,NA,0,NA,3077,voucher,ushespenheide1191,NA
Adiantopsis_pedata,1643,JN709794,0,NA,0,NA,1322,JN709748,0,NA,0,NA,0,NA,2965,voucher,nyharris10878,NA
Adiantopsis_pentagona,1635,JN709795,0,NA,0,NA,1318,JN709749,0,NA,0,NA,0,NA,2953,voucher,nyproctor3229,NA
Adiantopsis_perfasciculata,987,JN709793,0,NA,0,NA,881,JN709747,0,NA,0,NA,0,NA,1868,voucher,nyirwinal19130,NA
Adiantopsis_propinqua,713,JN709815,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,713,unjoined,NA,NA
Adiantopsis_radiata,1688,EU268718,1278,EF452010,0,NA,1308,EF452131,0,NA,0,NA,0,NA,4274,voucher,christenhusz4033,NA
Adiantopsis_reesii,730,JN709801,0,NA,0,NA,1322,JN709755,0,NA,0,NA,0,NA,2052,voucher,nyekman7965,NA
Adiantopsis_regularis,1754,JN709772,0,NA,0,NA,1325,JN709726,0,NA,0,NA,0,NA,3079,voucher,ucsilvabarbosa3001,NA
Adiantopsis_rupicola,1744,JN709799,0,NA,0,NA,1325,JN709753,0,NA,0,NA,0,NA,3069,voucher,nybrittonal7497,NA
Adiantopsis_seemannii,1752,MK632492,0,NA,0,NA,1325,JN709731,0,NA,0,NA,0,NA,3077,monophy,NA,NA
Adiantopsis_senae,1750,KF800705,0,NA,0,NA,1309,KF800703,0,NA,0,NA,0,NA,3059,monophy,NA,NA
Adiantopsis_ternata,1750,JN709802,0,NA,0,NA,1325,JN709756,0,NA,0,NA,0,NA,3075,voucher,ushaught2402,NA
Adiantopsis_timida,1752,JN709803,0,NA,0,NA,1325,JN709757,0,NA,0,NA,0,NA,3077,voucher,nywurdackadderley43734,NA
Adiantopsis_trifurcata,1752,JN709813,0,NA,0,NA,1325,JN709768,0,NA,0,NA,0,NA,3077,monophy,NA,NA
Adiantopsis_tweediana,1744,JN709771,0,NA,0,NA,1325,JN709725,571,MW245820,444,MW245820,0,NA,4084,monophy,NA,NA
Adiantopsis_vincentii,1747,JN709797,0,NA,0,NA,1325,JN709751,0,NA,0,NA,0,NA,3072,voucher,usmorton10544,NA
Adiantum_abscissum,1506,MH019315,0,NA,0,NA,1309,MH019532,0,NA,0,NA,0,NA,2815,voucher,sphirai718,NA
Adiantum_adiantoides,1506,MH019316,0,NA,0,NA,1309,MH019533,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3927,NA
Adiantum_aethiopicum,1707,JF937305,1265,JF935432,0,NA,1273,JF935350,571,JF980616,466,JF980616,902,JF980695,6184,voucher,jwen10780,NA
Adiantum_alan-smithii,665,KX524416,0,NA,0,NA,607,KX524212,0,NA,0,NA,0,NA,1272,voucher,lopes941,NA
Adiantum_alarconianum,1484,MH019317,0,NA,0,NA,1292,MH019534,0,NA,0,NA,0,NA,2776,voucher,morubio1819,NA
Adiantum_aleuticum,1746,JN052852,1272,JN052888,0,NA,1300,JN052804,587,JN052831,582,JN052831,914,JN052910,6401,voucher,wen10452,NA
Adiantum_alomae,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,822,KY934375,822,unjoined,NA,NA
Adiantum_amplum,1726,JF937311,1265,JF935438,0,NA,1261,JF935356,571,JF980622,553,JF980622,898,JF980701,6274,voucher,jwen10777,NA
Adiantum_anceps,1506,MH019320,0,NA,0,NA,1309,MH019537,0,NA,0,NA,0,NA,2815,voucher,ucsmith2894,NA
Adiantum_andicola,1500,KU147243,0,NA,0,NA,1308,KU147272,0,NA,0,NA,0,NA,2808,voucher,dukecjrothfels2641,NA
Adiantum_aneitense,1506,MH019321,0,NA,0,NA,1292,MH019538,0,NA,0,NA,0,NA,2798,voucher,kjohns10039,NA
Adiantum_argutum,1506,MH019322,1155,KJ716378,0,NA,1309,MH019539,531,MN781356,138,MN781356,0,NA,4639,monophy,NA,NA
Adiantum_atroviride,1506,MH019324,0,NA,0,NA,1309,MH019541,0,NA,0,NA,0,NA,2815,voucher,zkessler14196,NA
Adiantum_braunii,1506,MH019326,0,NA,0,NA,1309,MH019543,0,NA,0,NA,0,NA,2815,voucher,ucprothfels2,NA
Adiantum_cajennense,1506,MH019327,0,NA,0,NA,1309,MH019544,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3931,NA
Adiantum_calcareum,1500,MH019328,0,NA,0,NA,1309,MH019545,0,NA,0,NA,0,NA,2809,voucher,sphirai717,NA
Adiantum_camptorachis,1730,KX524384,0,NA,0,NA,1309,KX524180,0,NA,0,NA,0,NA,3039,voucher,morero335,NA
Adiantum_capillatum,NA,NA,NA,NA,NA,NA,1309,MH019546,NA,NA,NA,NA,NA,NA,1309,unjoined,mocroat95353,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_capillus-junonis,1733,JF937269,1265,JF935395,0,NA,1265,JF935314,571,JF980578,335,JF980578,886,JF980662,6055,voucher,jmlu111,NA
Adiantum_capillus-veneris,1744,JF937274,1265,JF935401,0,NA,1273,JF935320,577,JF980584,596,JF980584,871,JF980666,6326,voucher,jmlu138,NA
Adiantum_caudatum,1732,JF937250,1265,JF935374,0,NA,1273,JF935297,571,JF980559,610,JF980559,903,JF980642,6354,voucher,jmlu050,NA
Adiantum_chienii,1730,JF937256,1261,JF935381,0,NA,1260,JF935303,571,JF980565,610,JF980565,920,JF980649,6352,voucher,jmlu568,NA
Adiantum_chilense,1729,JF937291,1265,JF935418,0,NA,1251,JF935336,571,JF980602,572,JF980602,837,JF980681,6225,voucher,jwen7313,NA
Adiantum_ciliatum,1735,KP637179,1253,KP637194,0,NA,1275,KP637230,571,KP637245,399,KP637245,741,KP637260,5974,voucher,yan12404,NA
Adiantum_cinnamomeum,641,MH019332,0,NA,0,NA,1309,MH019550,0,NA,0,NA,0,NA,1950,voucher,spprado1831,NA
Adiantum_comorense,1506,MH019334,0,NA,0,NA,1292,MH019551,0,NA,0,NA,0,NA,2798,voucher,momwangoka5695,NA
Adiantum_concinnum,1730,KX524413,0,NA,0,NA,1309,KX524209,0,NA,0,NA,0,NA,3039,voucher,grantham011290,NA
Adiantum_cunninghamii,1734,JF937306,1265,JF935433,0,NA,943,JF935351,571,JF980617,418,JF980617,873,JF980696,5804,voucher,jwen10782,NA
Adiantum_curvatum,641,MH019336,0,NA,0,NA,1309,MH019553,0,NA,0,NA,0,NA,1950,voucher,ucbarbosa1227,NA
Adiantum_davidii,1732,JF937245,1265,JF935369,0,NA,1269,JF935292,571,JF980554,652,JF980554,921,JF980638,6410,voucher,jmlu247,NA
Adiantum_dawsonii,685,MH019338,0,NA,0,NA,1304,MH019555,0,NA,0,NA,0,NA,1989,voucher,ucprance19082,NA
Adiantum_decoratum,1440,MH019339,1134,MN781242,0,NA,1290,MH019556,531,MN781366,97,MN781366,0,NA,4492,monophy,NA,NA
Adiantum_deflectens,1506,MH019340,0,NA,0,NA,1309,MH019557,0,NA,0,NA,0,NA,2815,voucher,dukeschuettpelz1390,NA
Adiantum_delicatulum,1506,MH019341,0,NA,0,NA,1286,MH019558,0,NA,0,NA,0,NA,2792,voucher,sphirai704,NA
Adiantum_deltoideum,641,MH019342,0,NA,0,NA,1309,MH019559,0,NA,0,NA,822,KY934392,2772,monophy,NA,NA
Adiantum_dentatum,1732,KY382668,1244,KY429049,915,KY461657,1240,KY450801,571,KY450956,671,KY450955,728,KY450879,7101,voucher,wah013,NA
Adiantum_diaphanum,1734,JF937254,1265,JF935379,0,NA,1264,JF935301,571,JF980563,388,JF980563,908,JF980647,6130,voucher,jmlu208,NA
Adiantum_digitatum,1506,MH019343,0,NA,0,NA,1309,MH019561,600,KU147307,135,KU147307,0,NA,3550,monophy,NA,NA
Adiantum_diogoanum,NA,NA,NA,NA,NA,NA,1265,KJ628557,NA,NA,NA,NA,NA,NA,1265,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Adiantum_discolor,641,MH019344,0,NA,0,NA,1289,MH019562,0,NA,0,NA,0,NA,1930,voucher,splabiak3702,NA
Adiantum_dolosum,1506,MH019345,0,NA,0,NA,1309,MH019563,0,NA,0,NA,0,NA,2815,voucher,ucjimenez2023,NA
Adiantum_edgeworthii,1732,KP637178,1253,KP637193,0,NA,1275,KP637229,571,KP637244,404,KP637244,736,KP637259,5971,voucher,yan12412,NA
Adiantum_erythrochlamys,NA,NA,NA,NA,NA,NA,1292,MH019566,NA,NA,NA,NA,NA,NA,1292,unjoined,ucsinoamerexped1712,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_excisum,1729,JF937292,1265,JF935419,0,NA,1194,JF935337,571,JF980603,572,JF980603,863,JF980682,6194,voucher,jwen7326,NA
Adiantum_feei,NA,NA,NA,NA,NA,NA,607,MH019567,NA,NA,NA,NA,NA,NA,607,unjoined,ucsoto95,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_fengianum,1732,JF937262,1265,JF935388,0,NA,1272,JF935308,571,JF980571,652,JF980571,901,JF980656,6393,voucher,jmlu228,NA
Adiantum_flabellulatum,1736,JF937270,1265,JF935396,0,NA,1273,JF935315,571,JF980579,581,JF980579,870,JF980663,6296,voucher,jmlu192,NA
Adiantum_formosanum,1506,MH019350,0,NA,0,NA,1309,MH019571,0,NA,0,NA,0,NA,2815,voucher,dukeli1402,NA
Adiantum_formosum,1734,JF937307,1265,JF935434,0,NA,1273,JF935352,571,JF980618,527,JF980618,930,JF980697,6300,voucher,jwen10779,NA
Adiantum_fournieri,1708,KX524374,0,NA,0,NA,1292,MH019572,0,NA,0,NA,0,NA,3000,monophy,NA,NA
Adiantum_fragile,1506,MH019352,0,NA,0,NA,1271,MH019573,0,NA,0,NA,0,NA,2777,voucher,ucaxelrod12881,NA
Adiantum_fuliginosum,1484,MH019353,0,NA,0,NA,1309,MH019574,0,NA,0,NA,0,NA,2793,voucher,ucboudrie3925,NA
Adiantum_fulvum,1734,JF937308,1265,JF935435,0,NA,943,JF935353,571,JF980619,387,JF980619,873,JF980698,5773,voucher,jwen10781,NA
Adiantum_galeottianum,1708,KX524401,0,NA,0,NA,1292,KX524197,0,NA,0,NA,0,NA,3000,voucher,mickel7004,NA
Adiantum_gertrudis,NA,NA,NA,NA,NA,NA,607,MH019575,NA,NA,NA,NA,NA,NA,607,unjoined,uceyerdam10038,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_glabrum,NA,NA,NA,NA,NA,NA,1309,MH019576,NA,NA,NA,NA,NA,NA,1309,unjoined,ucstjohn15495,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_glaucescens,1506,MH019354,0,NA,0,NA,1309,MH019577,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3930,NA
Adiantum_gracile,1453,MH019355,0,NA,0,NA,1309,MH019578,0,NA,0,NA,0,NA,2762,voucher,spprado2242,NA
Adiantum_gravesii,1732,KY382729,1244,KY429095,915,KY461708,1240,KY450871,571,KY451001,648,KY451001,887,KY450945,7237,voucher,wah048,NA
Adiantum_henslovianum,1716,KX524418,0,NA,0,NA,1309,KX524214,0,NA,0,NA,0,NA,3025,monophy,NA,NA
Adiantum_hirsutum,NA,NA,NA,NA,NA,NA,1263,KF992410,NA,NA,NA,NA,NA,NA,1263,unjoined,shennequinr223,Evolutionary patterns in the assembly of fern diversity on the
Adiantum_hispidulum,1734,JF937296,1265,JF935423,0,NA,1254,JF935341,571,JF980607,567,JF980607,897,JF980686,6288,voucher,jwen10243,NA
Adiantum_hornei,NA,NA,NA,NA,NA,NA,1309,MH019581,NA,NA,NA,NA,NA,NA,1309,unjoined,ucgame9510,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_hosei,641,MH019358,0,NA,0,NA,1292,MH019582,0,NA,0,NA,0,NA,1933,voucher,ucbeaman10302,NA
Adiantum_humile,1506,MH019359,0,NA,0,NA,1309,MH019583,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3934,NA
Adiantum_incisum,1732,JF937253,1265,JF935378,0,NA,1272,JF935300,571,JF980562,607,JF980562,915,JF980646,6362,voucher,jmlu269,NA
Adiantum_induratum,1736,JF937263,1265,JF935389,0,NA,1255,JF935309,571,JF980572,581,JF980572,871,JF980657,6279,voucher,jmlu210,NA
Adiantum_intermedium,760,MH019362,0,NA,0,NA,1309,MH019586,0,NA,0,NA,0,NA,2069,voucher,sjrpprado1769,NA
Adiantum_isthmicum,NA,NA,NA,NA,NA,NA,1282,KJ628539,NA,NA,NA,NA,NA,NA,1282,unjoined,NA,Phylogenetic relatedness within neotropical fern communities
Adiantum_jordanii,1744,JF937303,1265,JF935430,0,NA,1273,JF935348,577,JF980614,594,JF980614,872,JF980693,6325,voucher,jwen10778,NA
Adiantum_juxtapositum,1731,KY382673,1244,KY429042,918,KY461648,1240,KY450802,571,KY450974,610,KY450974,895,KY450887,7209,voucher,wah030,NA
Adiantum_krameri,1484,MH019364,0,NA,0,NA,1309,MH019588,0,NA,0,NA,0,NA,2793,voucher,ucvanderwerff12986,NA
Adiantum_latifolium,1225,MH019365,0,NA,0,NA,1292,MH019589,0,NA,0,NA,0,NA,2517,voucher,dukerothfels08170,NA
Adiantum_leprieurii,1506,MH019366,0,NA,0,NA,1309,MH019590,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3926,NA
Adiantum_lianxianense,1732,JF937255,1265,JF935380,0,NA,1268,JF935302,571,JF980564,654,JF980564,751,JF980648,6241,voucher,jmlu120,NA
Adiantum_longzhouensis,1732,KY382661,1244,KY429035,915,KY461650,1240,KY450806,571,KY451006,647,KY451006,889,KY450906,7238,voucher,wah019,NA
Adiantum_lorentzii,1730,KX524391,0,NA,0,NA,1309,KX524187,0,NA,0,NA,0,NA,3039,monophy,NA,NA
Adiantum_lucidum,1506,MH019367,0,NA,0,NA,1309,MH019591,0,NA,0,NA,0,NA,2815,voucher,ucboudrie3929,NA
Adiantum_macrocladum,750,MH019368,534,MN781266,0,NA,1252,KJ628577,531,MN781357,138,MN781357,0,NA,3205,monophy,NA,NA
Adiantum_macrophyllum,1506,MH019369,0,NA,0,NA,1309,MH019593,0,NA,0,NA,0,NA,2815,voucher,dukerothfels08094,NA
Adiantum_madagascariense,1413,MH019371,0,NA,0,NA,1292,MH019595,0,NA,0,NA,0,NA,2705,voucher,monusbaumer2749,NA
Adiantum_mariesii,1730,KY382692,1244,KY429059,913,KY461671,1240,KY450815,571,KY451018,647,KY451018,894,KY450905,7239,voucher,wah038,NA
Adiantum_mathewsianum,NA,NA,NA,NA,NA,NA,1292,MH019598,NA,NA,NA,NA,NA,NA,1292,unjoined,uchatschbach74482,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_mcvaughii,NA,NA,NA,NA,NA,NA,1292,MH019599,NA,NA,NA,NA,NA,NA,1292,unjoined,ucalava1603,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_meishanianum,1737,KP637181,1253,KP637196,0,NA,1275,KP637232,571,KP637247,394,KP637247,739,KP637262,5969,voucher,yan12411,NA
Adiantum_melanoleucum,1506,MH019373,0,NA,0,NA,1309,MH019600,0,NA,0,NA,0,NA,2815,voucher,ucaxelrod12765,NA
Adiantum_mendoncae,583,MH019374,0,NA,0,NA,463,MH019601,0,NA,0,NA,0,NA,1046,voucher,bmpope266,NA
Adiantum_menglianense,1732,KP637182,1253,KP637197,801,KU561681,1275,KP637233,571,KP637248,403,KP637248,740,KP637263,6775,voucher,yan12409,NA
Adiantum_monochlamys,723,MH019376,0,NA,0,NA,1210,MH019603,571,KT427316,390,KT427316,723,KT427073,3617,monophy,NA,NA
Adiantum_mynsseniae,641,MH019377,0,NA,0,NA,1292,MH019604,0,NA,0,NA,0,NA,1933,voucher,ucmynssen356,NA
Adiantum_myriosorum,1724,JN052847,1272,JN052869,0,NA,1283,JN052786,579,JN052815,587,JN052815,928,JN052900,6373,voucher,jmlu313,NA
Adiantum_nelumboides,1730,KJ742774,1245,KJ742731,0,NA,1271,KJ742757,599,KJ779998,356,KJ779998,849,KJ779969,6050,voucher,wah009,NA
Adiantum_novae-caledoniae,NA,NA,NA,NA,NA,NA,1292,KX524167,NA,NA,NA,NA,NA,NA,1292,unjoined,werff16105,Phylogeny and relationships of the neotropical Adiantum raddianum
Adiantum_oaxacanum,NA,NA,NA,NA,NA,NA,1292,MH019606,NA,NA,NA,NA,NA,NA,1292,unjoined,ucmickel5132a,A worldwide phylogeny of Adiantum (Pteridaceae) reveals remarkable
Adiantum_obliquum,1506,MH019380,0,NA,0,NA,1309,MH019607,0,NA,0,NA,0,NA,2815,voucher,dukerothfels2661,NA
Adiantum_obovatum,1730,KY382686,1244,KY429053,909,KY461643,1240,KY450828,571,KY450976,654,KY450976,710,KY450902,7058,voucher,wah016,NA
Adiantum_ogasawarense,NA,NA,NA,NA,NA,NA,1205,AB574801,NA,NA,NA,NA,NA,NA,1205,unjoined,tns774843,Molecular species identification with rich floristic sampling: DNA
Adiantum_orbignyanum,1730,KX524412,0,NA,0,NA,1309,KX524208,0,NA,0,NA,0,NA,3039,voucher,hernandez1953,NA
Adiantum_ornithopodum,1506,MH019382,0,NA,0,NA,1309,MH019609,0,NA,0,NA,0,NA,2815,voucher,dukeschuettpelz1429,NA
Adiantum_oyapokense,1506,MH019416,0,NA,0,NA,1309,MH019644,0,NA,0,NA,0,NA,2815,voucher,dukegrusz128,NA
Adiantum_paraense,1485,MH019383,0,NA,0,NA,1292,MH019610,0,NA,0,NA,0,NA,2777,voucher,ucboudrie3932,NA
